epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,146.244,2.56325,3.54693,1.08567,0.00342,0.15996,0.00121,0.00028,3.34544,4.04909,1.19543,0.000631579,0.000631579,0.000631579
2,264.192,2.52626,2.85432,1.07097,0.00545,0.25911,0.00384,0.001,2.53814,3.58255,1.14054,0.00116972,0.00116972,0.00116972
3,409.404,2.56532,2.82344,1.07653,0.00551,0.25974,0.00376,0.00139,2.65797,3.56272,1.20063,0.00157586,0.00157586,0.00157586
4,526.325,2.42119,2.36299,1.08557,0.00901,0.42794,0.04565,0.01729,2.52334,3.20678,1.12154,0.001406,0.001406,0.001406
5,643.078,2.42204,2.31092,1.02955,0.69963,0.0529,0.13857,0.05348,2.42098,2.79466,1.10323,0.001208,0.001208,0.001208
6,796.119,2.29617,2.18715,1.06407,0.36529,0.12258,0.13506,0.05928,2.36388,2.52654,1.07301,0.00101,0.00101,0.00101
7,953.088,2.23,2.06335,1.04114,0.37207,0.19734,0.16782,0.07305,2.35765,2.28166,1.08366,0.000812,0.000812,0.000812
8,1088.79,2.26901,2.04153,1.00819,0.35218,0.21387,0.16567,0.07473,2.28116,2.33682,1.06247,0.000614,0.000614,0.000614
9,1205.19,2.17268,1.89995,0.95652,0.33441,0.22426,0.17426,0.07418,2.38129,2.15481,1.07506,0.000416,0.000416,0.000416
10,1337.29,2.12403,1.88374,0.95997,0.3686,0.24644,0.20507,0.09111,2.26449,2.00943,1.05257,0.000218,0.000218,0.000218
