epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,602.601,2.38548,2.38541,1.02955,0.62283,0.03263,0.07762,0.03348,2.45796,2.89779,1.03193,0.000659498,0.000659498,0.000659498
2,1344.98,2.34976,1.83091,1.01666,0.32784,0.22078,0.17733,0.08142,2.39595,1.8554,1.01656,0.00119487,0.00119487,0.00119487
3,2503.13,2.18945,1.60359,0.999,0.33315,0.23282,0.18677,0.08452,2.27602,1.80103,0.98305,0.00159825,0.00159825,0.00159825
4,3640.28,2.20963,1.54778,0.98298,0.38274,0.23313,0.20509,0.09189,2.28478,1.67353,0.98077,0.001406,0.001406,0.001406
5,4271.59,2.12735,1.47098,0.97112,0.37269,0.24483,0.21441,0.09916,2.22308,1.61423,0.97646,0.001208,0.001208,0.001208
6,4805.69,2.07323,1.40157,0.95273,0.38629,0.26829,0.24017,0.11036,2.14881,1.53029,0.936,0.00101,0.00101,0.00101
7,5265.92,2.01384,1.36054,0.93345,0.38582,0.29173,0.25515,0.11855,2.07949,1.49303,0.91809,0.000812,0.000812,0.000812
8,5754.14,1.95158,1.30442,0.92566,0.45126,0.27241,0.26927,0.13086,2.06299,1.46899,0.91357,0.000614,0.000614,0.000614
9,6312.65,1.87296,1.24299,0.91621,0.45739,0.29427,0.28126,0.13677,1.99698,1.36974,0.90488,0.000416,0.000416,0.000416
10,6879.85,1.88744,1.2548,0.90462,0.45029,0.31866,0.2983,0.14636,1.93409,1.32371,0.89299,0.000218,0.000218,0.000218
